MAP 	PAP 	PAV 	MAV 	ID
12	16	7	9	524 
18	21	4	13	525 
16	15	14	13	526 
18	17	12	14	527 
20	15	10	15	528 
15	15	12	6	529 
19	15	15	14	530 
12	13	10	12	531 
8	9	8	10	532 
20	16	11	14	533 
15	17	8	14	534 
19	18	18	14	535 
17	15	17	12	536 
19	21	21	17	537 
16	18	12	17	538 
18	16	8	15	539 
20	17	12	15	540 
19	17	16	11	541 
12	21	6	19	542 
15	15	8	8	543 
14	12	13	11	544 
16	17	16	15	545 
21	20	9	12	546 
17	9	14	9	547 
13	18	9	16	548 
11	13	12	10	549 
20	8	10	7	550 
16	10	13	13	551 
20	19	6	6	552 
16	18	9	11	553 
19	19	7	15	554 
16	20	16	16	555 
16	15	15	15	556 
21	21	10	15	557 
19	18	11	19	558 
21	21	15	8	559 
19	18	5	6	560 
12	16	12	9	561 
19	19	10	3	562 
18	21	11	11	563 
14	17	11	7	564 
17	12	5	10	565 
20	21	11	21	566 
15	15	14	15	567 
17	18	12	16	568 
19	21	13	10	569 
12	17	11	11	570 
12	8	11	9	571 
16	16	13	14	572 
17	13	14	12	573 
16	18	14	18	574 
20	10	11	13	575 
21	14	16	15	576 
17	18	18	12	577 
16	12	12	13	578 
14	17	9	18	579 
15	20	14	19	580 
13	15	11	15	581 
13	16	17	18	582 
14	18	5	11	583 
14	11	9	11	584 
15	16	9	9	585 
11	16	13	16	586 
17	13	12	10	587 
20	15	12	16	588 
18	13	12	15	589 
15	16	4	13	590 
17	21	9	13	591 
15	3	17	7	592 
21	20	4	9	593 
15	13	14	15	594 
14	16	11	13	595 
17	14	9	15	596 
15	17	14	15	597 
18	14	12	12	598 
12	14	11	10	599 
18	17	13	13	600 
17	18	8	5	601 
15	17	13	15	602 
14	20	13	10	603 
19	20	12	16	604 
17	19	14	17	605 
20	17	11	5	606 
19	18	16	13	607 
18	18	14	16	608 
16	13	12	13	609 
18	19	17	18	610 
18	18	16	17	611 
19	14	17	9	612 
13	17	11	16	613 
17	18	14	8	614 
18	10	5	4	615 
17	17	14	14	616 
17	17	14	17	617 
10	14	8	12	618 
17	15	11	7	619 
16	15	16	13	620 
16	7	13	13	621 
11	13	13	10	622 
17	18	12	18	623 
15	14	10	12	624 
18	18	14	11	625 
15	18	14	10	626 
21	10	14	10	627 
10	14	8	10	628 
18	7	8	3	629 
16	20	9	13	630 
20	18	14	18	631 
19	12	10	14	632 
15	10	13	11	633 
13	11	12	13	634 
19	16	13	18	635 
17	17	8	10	636 
11	8	14	8	637 
21	21	6	15	638 
21	21	12	18	639 
15	17	12	6	640 
19	15	10	12	641 
11	16	18	17	642 
15	18	14	18	643 
13	12	6	15	644 
12	13	11	14	645 
15	20	4	3	646 
18	6	7	6	647 
15	16	9	10	648 
14	16	9	11	649 
15	14	13	10	650 
12	11	10	17	651 
13	11	10	14	652 
16	20	10	17	653 
13	15	9	12	654 
19	13	9	16	655 
15	16	9	15	656 
12	12	14	14	657 
15	15	9	14	658 
19	17	10	15	659 
17	10	11	11	660 
17	13	12	9	661 
9	11	12	14	662 
14	15	11	13	663 
12	12	6	10	664 
13	19	10	12	665 
11	19	6	11	666 
16	9	11	9	667 
20	21	16	10	668 
19	16	18	19	669 
14	16	10	9	670 
15	18	7	8	671 
16	16	9	8	672 
17	18	7	6	673 
11	14	12	15	674 
13	16	8	17	675 
12	15	12	13	676 
11	6	13	6	677 
21	20	11	10	678 
17	17	13	19	679 
14	15	13	8	680 
14	12	14	13	681 
12	14	10	18	682 
19	18	8	10	683 
15	12	16	13	684 
21	16	11	11	685 
17	11	13	9	686 
7	13	8	19	687 
15	16	16	12	688 
21	21	10	21	689 
15	17	16	15	690 
15	7	11	6	691 
18	17	15	19	692 
15	10	16	10	693 
15	15	9	12	694 
13	16	9	6	695 
15	16	11	11	696 
20	18	11	10	697 
16	13	11	8	698 
14	10	13	10	699 
16	16	12	12	700 
16	16	16	15	701 
20	18	19	21	702 
18	18	8	13	703 
21	21	12	21	704 
9	15	12	9	705 
12	14	9	13	706 
18	15	15	15	707 
19	10	10	6	708 
19	20	16	13	709 
12	6	11	6	710 
20	21	14	7	711 
18	21	17	13	712 
18	18	6	3	713 
17	18	14	14	714 
17	14	10	10	715 
16	18	12	7	716 
18	16	12	12	717 
20	19	15	17	718 
19	13	8	13	719 
11	12	10	15	720 
17	18	10	17	721 
15	10	10	9	722 
20	17	11	16	723 
21	13	7	6	724 
21	21	12	19	725 
16	19	14	16	726 
9	14	6	12	727 
17	12	13	10	728 
21	18	15	15	729 
17	12	10	6	730 
15	16	14	16	731 
16	17	12	19	732 
17	20	17	18	733 
19	18	7	5	734 
12	14	10	14	735 
21	15	15	15	736 
19	17	18	15	737 
17	15	17	16	738 
7	6	8	7	739 
21	13	5	7	740 
11	15	14	15	741 
19	3	16	7	742 
15	17	11	11	743 
19	11	18	10	744 
17	18	18	11	745 
13	19	12	16	746 
17	15	8	12	747 
20	19	15	15	748 
19	14	19	11	749 
18	17	14	16	750 
15	15	11	9	751 
14	21	13	15	752 
14	16	11	15	753 
16	8	4	6	754 
21	21	15	11	755 
13	15	6	10	756 
19	13	10	12	757 
16	15	15	9	758 
9	7	7	7	759 
16	19	5	11	760 
19	16	6	10	761 
16	17	8	11	762 
17	19	20	19	763 
10	8	11	17	764 
12	13	10	16	765 
15	14	14	19	766 
15	15	9	8	767 
14	19	10	16	768 
17	17	11	12	769 
17	18	12	17	770 
6	13	7	16	771 
19	19	9	12	772 
20	21	18	9	773 
17	17	11	17	774 
14	16	9	13	775 
20	11	7	12	776 
11	15	14	18	777 
14	16	9	15	778 
21	17	19	17	779 
16	17	14	14	780 
20	11	12	10	781 
13	8	11	10	782 
18	18	16	12	783 
20	21	14	18	784 
21	21	13	12	785 
12	16	12	16	786 
16	3	9	6	787 
20	19	8	5	788 
19	13	17	12	789 
10	13	8	12	790 
15	20	9	16	791 
17	20	10	16	792 
13	12	13	14	793 
13	17	14	11	794 
13	21	10	15	795 
19	6	17	9	796 
20	19	10	21	797 
17	10	9	9	798 
15	19	10	18	799 
17	21	7	15	800 
21	21	3	9	801 
12	12	9	13	802 
16	10	6	10	803 
19	19	9	18	804 
19	19	11	13	805 
19	10	15	10	806 
18	14	17	16	807 
16	16	12	8	808 
19	21	9	11	809 
16	17	13	17	810 
13	12	11	10	811 
18	14	10	9	812 
19	18	14	9	813 
20	12	18	9	814 
17	15	14	14	815 
9	8	6	8	816 
14	9	10	10	817 
20	17	18	18	818 
20	20	18	18	819 
19	17	14	8	820 
16	21	11	7	821 
18	12	15	14	822 
21	21	8	5	823 
10	15	11	16	824 
20	21	19	21	825 
18	13	9	11	826 
14	11	13	16	827 
14	10	13	9	828 
21	19	12	6	829 
17	17	11	15	830 
14	13	9	11	831 
9	17	10	17	832 
15	17	13	16	833 
21	21	15	16	834 
8	12	13	8	835 
18	13	13	13	836 
19	21	11	17	837 
11	15	18	14	838 
12	14	10	16	839 
15	18	4	12	840 
16	18	7	13	841 
21	20	20	21	842 
15	7	14	9	843 
19	21	3	16	844 
18	20	11	14	845 
21	19	18	21	846 
13	9	15	9	847 
